аквамариновый,#7fffd4,"127, 255, 212","50, 0, 17, 0"
алый,#ff2400,"255, 36, 0","0, 86, 100, 0"
амарантовый,#e52b50 ,"229, 43, 80","0, 81, 65, 10"
аметистовый,#9966cc,"153, 102, 204","25, 50, 0, 20"
бежевый,#f5f5dc,"245, 245, 220","0, 0, 10, 4"
белоснежный,#fffafa,"255, 250, 250","0, 2, 2, 0"
белый,#ffffff,"255, 255, 255","0, 0, 0, 0"
бирюзовый,#30d5c8,"48, 213, 200","77, 0, 6, 16"
бледно-васильковый,#abcdef,"171, 205, 239","28, 14, 0, 6"
бледно-желтый,#ffdb8b,"255, 219, 139","0, 14, 45, 0"
бледно-зеленый,#89ac76,"137, 172, 118","20, 0, 31, 33"
бледно-золотистый,#eee8aa,"238, 232, 170","0, 3, 29, 7"
бледно-карминный,#b03f35,"176, 63, 53","0, 64, 70, 31"
бледно-каштановый,#ddadaf,"221, 173, 175","0, 22, 21, 13"
бледно-коричневый,#755c48,"117, 92, 72","0, 21, 38, 54"
бледно-песочный,#dabdab,"218, 189, 171","0, 13, 22, 15"
бледно-пурпурный,#ae848b,"174, 132, 139","0, 24, 20, 32"
бледно-розовый,#fadadd,"250, 218, 221","0, 13, 12, 2"
бледно-синий,#afeeee,"175, 238, 238","26, 0, 0, 7"
бледно-фиолетовый,#957b8d,"149, 123, 141","0, 17, 5, 42"
болотный,#acb78e,"172, 183, 142","6, 0, 22, 28"
бордовый,#b00000,"176, 0, 0","0, 100, 100, 31"
бронзовый,#cd7f32,"205, 127, 50","0, 38, 76, 20"
васильковый,#6495ed,"100, 149, 237","58, 37, 0, 7"
голубой,#00bfff,"0, 191, 255","100, 25, 0, 0"
горчичный,#ffdb58,"255, 219, 88","0, 14, 65, 0"
гранатовый,#f34723 ,"243, 71, 35","0, 71, 86, 5"
желто-зеленый,#9acd32,"154, 205, 50","25, 0, 76, 20"
желто-золотой,#cda434,"205, 164, 52","0, 20, 75, 20"
желто-оливковый,#47402e,"71, 64, 46","0, 10, 35, 72"
желто-оранжевый,#ed760e,"237, 118, 14","0, 50, 94, 7"
желто-оранжевый крайола,#ffae42,"255, 174, 66","0, 32, 74, 0"
